year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20131101,11.9,6.4,20.9,0,2502
20131104,8.8,3.9,16.7,0,2452
20131105,6.9,1.2,17.6,0,2464
20131106,7.9,0.2,15,0.5,2479
20131107,10.2,1.1,17.7,0,2502
20131108,5.7,-0.8,15,0,2473
20131111,1.4,-4,7.9,0,2403
20131112,1.3,-4.5,8.7,0,2403
20131113,1.2,-6.3,12.4,0,2400
20131114,3.7,-3,10.8,0,2333
20131115,4.3,-1.6,13.8,0,2216
20131118,1.6,-0.3,4.9,0,2228
20131119,2.1,-0.8,5.2,0,2228
20131120,2.3,-0.3,6,0,2228
20131121,1.7,-3.3,7.3,0,2228
20131122,1.4,-5.2,10.8,0,2135
20131125,6.5,1.8,12.6,16.5,2135
20131126,1.4,-2.4,5.9,0,2135
20131127,-0.8,-4,2.4,3.5,2135
20131128,-2.9,-5.5,0.6,0,2104
20131129,-0.4,-4,3.3,0,2104
20131202,0.5,-6.2,8.6,0,2089
20131203,0.5,-5.2,9.4,0,2089
20131204,0.8,-5.6,10.8,0,2150
20131205,3.4,-4.8,8.7,0,2173
20131206,2.7,-3.9,8.1,0,2173
20131209,2.2,-2.7,5.9,3,2143
20131210,0.7,-4.4,4.2,0,2143
20131211,-0.3,-3.7,3.5,0.4,2133
20131212,0.5,-4.5,5,2.5,2133
20131213,-4,-6.7,1.2,0,2133
20131216,-3.9,-11.2,3.9,0,2133
20131217,0.6,-5.6,6.7,0.3,2133
20131218,3,0.1,6.1,0,2086
20131219,-1,-4.4,1.8,0,2086
20131220,-3.5,-7.4,1.2,0.2,2096
20131223,-4,-9.9,3.9,0,2107
20131224,-3.7,-10.4,6.6,0,2112
20131226,0.8,-1.2,3.5,0,2122
20131227,-3.8,-8,0.1,0,2094
20131230,2.3,-1.6,5.6,0,2050
20131231,3,-4,8,0,2054
20140102,0.6,-5.4,8,0,2011
20140103,-1.7,-8.5,8.3,0,1930
20140106,-3.2,-9.6,6.7,0,1930
20140107,-1.5,-10.3,6.4,0,1930
20140108,-0.6,-3.5,4,0,1936
20140109,-5,-9.2,-1,0,1983
20140110,-5.9,-14.5,0.6,0,2118
20140113,-7.2,-13.1,0.9,0,2118
20140114,-7.6,-16.4,2.4,0,2118
20140115,-6,-15,3.3,0,2092
20140116,-4.4,-12.9,4.4,0,2083
20140117,-4,-10.1,4.7,0,2045
20140120,-1.9,-5.9,2.2,0.5,2025
20140121,-4.5,-9.5,-1,0,2028
20140122,-6,-13.1,1.9,0,1989
20140123,-5,-13.6,6.4,0,2622
20140124,-1.4,-10.6,8.8,0,2648
20140127,-2.7,-11.6,7.6,0,2648
20140128,1,-6.8,10.5,0,2648
20140129,0.1,-12.3,13.3,0,2678
20140203,1.2,-5,8.6,0,2660
20140204,-6.1,-10.5,-0.6,0,2646
20140205,-7.1,-13.7,1.2,0,2646
20140206,-3.1,-9.5,3.3,0,2565
20140207,-1.2,-5.8,2.6,12,2558
20140210,-2.2,-7.3,1.1,0,2551
20140211,-4.2,-10.3,1.9,0,2540
20140212,-2.8,-8.9,4.1,0,2540
20140213,-1.4,-6.8,3.2,0,2498
20140214,0.1,-2.7,2.2,0,2485
20140217,1.6,-2.7,6.7,0.4,2485
20140218,0.2,-1.2,3.1,0,2462
20140219,0.2,-3.3,4.4,0,2462
20140220,0.2,-6.3,7.9,0,2446
20140221,-1,-7.3,7.7,0,2442
20140224,2.3,-3.5,11.3,0,2460
20140225,3,-4.9,12.9,0,2460
20140226,3.1,-3.2,9.3,1,2452
20140227,7.9,2.8,16.2,0.3,2452
20140228,4.7,-0.2,8.8,0,2444
20140303,1.5,-4.7,10.6,0,2450
20140304,3,-4.8,10.8,0,2357
20140305,1.7,-3.5,8.2,0,2344
20140306,-0.8,-8.5,5.6,0,2355
20140307,0.3,-4,5.1,0,2372
20140310,-0.4,-8.9,8.9,0,2428
20140311,2.5,-8,14.3,0,2368
20140312,1.1,-5.2,4.3,30,2350
20140313,1.5,-2.4,6.6,10.5,2335
20140314,0.2,-3.5,6.6,0,2291
20140317,10.6,-1,21.1,0.5,2294
20140318,12.6,3.2,20.5,0.5,2247
20140319,6.4,1.6,11.2,0,2247
20140320,4.3,1,9,3,2247
20140321,1.7,-3.1,7.9,0,2240
20140324,8.2,-2.4,18.3,0,2224
20140325,12.1,4.1,19.6,5.5,2228
20140326,13,9.6,17.6,9.5,2249
20140327,11.6,5.3,22.6,0,2256
20140328,14.3,4.2,24.8,0,2248
20140331,9.5,1.8,20.2,0,2273
20140401,10.6,2.3,22.7,0,2264
20140402,12.5,1.6,23.2,0,2290
20140403,10.1,2.3,21.1,11.5,2394
20140404,5.4,1.6,10.7,2,2394
20140407,11.1,-1.1,20,0,2392
20140408,10.8,0.9,21.5,0,2383
20140409,11.4,0,23.6,0,2383
20140410,9.8,3.1,18.3,0,2285
20140411,10.4,3.8,19.7,0,2285
20140414,10.5,-1.5,23.5,0,2285
20140415,15.9,1.9,25.7,0,2273
20140416,17.1,8.9,25.3,0,2273
20140417,12.3,4.7,23.2,7,2298
20140418,11.1,7.4,16.8,0.5,2298
20140421,12.7,4.8,22.5,0,2298
20140422,11.7,4.6,21.8,0,2267
20140423,12.2,0.9,24,0,2267
20140424,13.8,2.6,25.7,0,2252
20140425,14.8,3.9,26.3,0,2252
20140428,11.5,10.4,12.9,27,2260
20140429,13.2,12,15.3,19.5,2279
20140430,13.7,10,18.7,0.5,2271
20140502,17.4,6.6,26,0,2268
20140507,13.6,0.8,25.3,0,2245
20140508,14.3,7.1,21.8,0.1,2245
20140509,12.5,4.3,23.2,0,2272
20140512,17.3,12.9,21.9,12.5,2272
20140513,19.4,8.8,28.9,0,2302
20140514,17,11.2,26.3,0,2302
20140515,17.7,10.6,25.1,0,2246
20140516,18.2,10.7,26.4,0,2253
20140519,18.9,10.1,29.4,0,2273
20140520,16.9,12,23.1,0,2285
20140521,16.9,10.3,26.3,0,2286
